LOINC,10230-1,Left ventricular Ejection fraction,Congestive Heart Failure
LOINC,10480-2,Estrogen+Progesterone receptor Ag [Presence] in Tissue by Immune stain,Hormone_Diagnosis
LOINC,10834-0,Globulin [Mass/volume] in Serum by calculation,Veteran Prostate Cancer|Lung Cancer|Colorectal Cancer|Gallstones|Dialysis|Veteran Hyperlipidemia
LOINC,14804-9,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,measurements_frequent
LOINC,14959-1,Microalbumin Creatinine Ratio,Wellness Encounters
LOINC,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|measurements_daily|Colorectal Cancer|Gallstones|Dialysis|Veteran Hyperlipidemia|chf_lab_work
LOINC,1751-7,Albumin [Mass/volume] in Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|measurements_daily|Colorectal Cancer|Gallstones|Dialysis|Veteran Hyperlipidemia|chf_lab_work
LOINC,17861-6,Calcium [Mass/volume] in Serum or Plasma,measurements_daily|Gallstones|chf_lab_work
LOINC,18262-6,Low Density Lipoprotein Cholesterol,Veteran Hyperlipidemia|Wellness Encounters|chf_lab_work
LOINC,19123-9,Magnesium [Mass/volume] in Serum or Plasma,chf_lab_work
LOINC,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|measurements_daily|Colorectal Cancer|Gallstones|Dialysis|Veteran Hyperlipidemia|chf_lab_work
LOINC,1960-4,Bicarbonate [Moles/volume] in Arterial blood,measurements_daily
LOINC,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|measurements_daily|Colorectal Cancer|Dialysis|Veteran Hyperlipidemia|chf_lab_work
LOINC,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,measurements_frequent
LOINC,19926-5,FEV1/FVC,COPD
LOINC,19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,measurements_daily
LOINC,2019-8,Carbon dioxide [Partial pressure] in Arterial blood,measurements_daily
LOINC,2028-9,Carbon dioxide  total [Moles/volume] in Serum or Plasma,measurements_daily|Gallstones|chf_lab_work
LOINC,20454-5,Protein [Presence] in Urine by Test strip,Veteran Prostate Cancer|Lung Cancer|Dialysis|Metabolic Syndrome Standards of Care
LOINC,20505-4,Bilirubin.total [Mass/volume] in Urine by Test strip,Veteran Prostate Cancer|Lung Cancer|Dialysis|Metabolic Syndrome Standards of Care
LOINC,20565-8,Carbon Dioxide,Veteran Prostate Cancer|Congestive Heart Failure|Lung Cancer|Colorectal Cancer|Dialysis|Veteran Hyperlipidemia|Wellness Encounters|Metabolic Syndrome Standards of Care
LOINC,20570-8,Hematocrit [Volume Fraction] of Blood,anemia_sub|Gallstones
LOINC,2069-3,Chloride,Veteran Prostate Cancer|Congestive Heart Failure|Lung Cancer|Colorectal Cancer|Dialysis|Veteran Hyperlipidemia|Wellness Encounters|Metabolic Syndrome Standards of Care
LOINC,2075-0,Chloride [Moles/volume] in Serum or Plasma,measurements_daily|Gallstones|chf_lab_work
LOINC,2085-9,High Density Lipoprotein Cholesterol,Veteran Hyperlipidemia|Wellness Encounters|chf_lab_work
LOINC,2093-3,Total Cholesterol,Veteran Hyperlipidemia|Wellness Encounters|chf_lab_work
LOINC,21000-5,RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol],Veteran Prostate Cancer|Lung Cancer|anemia_sub|Colorectal Cancer|Wellness Encounters
LOINC,2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,measurements_frequent
LOINC,2160-0,Creatinine [Mass/volume] in Serum or Plasma,measurements_daily|Gallstones|chf_lab_work
LOINC,21905-5,Primary tumor.clinical [Class] Cancer,TNM_Diagnosis
LOINC,21906-3,Regional lymph nodes.clinical [Class] Cancer,TNM_Diagnosis
LOINC,21907-1,Distant metastases.clinical [Class] Cancer,TNM_Diagnosis
LOINC,21908-9,Stage group.clinical Cancer,Breast_cancer
LOINC,21924-6,Tumor marker Cancer,Hormone_Diagnosis
LOINC,2276-4,Ferritin [Mass/volume] in Serum or Plasma,measurements_frequent|chf_lab_work
LOINC,2339-0,Glucose,Veteran Prostate Cancer|Congestive Heart Failure|Lung Cancer|Colorectal Cancer|Dialysis|Veteran Hyperlipidemia|Wellness Encounters|Metabolic Syndrome Standards of Care
LOINC,2345-7,Glucose [Mass/volume] in Serum or Plasma,measurements_daily|Gallstones|chf_lab_work
LOINC,24321-2,Basic Metabolic 2000 Panel,Metabolic Syndrome Standards of Care
LOINC,24323-8,Comprehensive metabolic 2000 panel - Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|measurements_daily|Colorectal Cancer|Gallstones|Dialysis|Veteran Hyperlipidemia|chf_lab_work
LOINC,24336-0,Gas panel - Arterial blood,measurements_daily
LOINC,24357-6,Urinalysis macro (dipstick) panel - Urine,Veteran Prostate Cancer|Lung Cancer|Dialysis|Metabolic Syndrome Standards of Care
LOINC,24360-0,Hemoglobin and Hematocrit panel - Blood,anemia_sub
LOINC,2498-4,Iron [Mass/volume] in Serum or Plasma,chf_lab_work
LOINC,2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,chf_lab_work
LOINC,2502-3,Iron saturation [Mass Fraction] in Serum or Plasma,chf_lab_work
LOINC,2514-8,Ketones [Presence] in Urine by Test strip,Veteran Prostate Cancer|Lung Cancer|Dialysis|Metabolic Syndrome Standards of Care
LOINC,2532-0,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,measurements_frequent
LOINC,25428-4,Glucose [Presence] in Urine by Test strip,Veteran Prostate Cancer|Lung Cancer|Dialysis|Metabolic Syndrome Standards of Care
LOINC,2571-8,Triglycerides,Veteran Hyperlipidemia|Wellness Encounters|chf_lab_work
LOINC,26453-1,Red Blood Cell,Gallstones
LOINC,26464-8,White Blood Cell (Elevated),Gallstones
LOINC,26515-7,Platelet Count,Gallstones
LOINC,26881-3,Interleukin 6 [Mass/volume] in Serum or Plasma,measurements_frequent
LOINC,2703-7,Oxygen [Partial pressure] in Arterial blood,measurements_daily
LOINC,2708-6,Oxygen saturation in Arterial blood,Congestive Heart Failure|measurements_daily|measurements_vitals
LOINC,2713-6,Oxygen Saturation,Sepsis
LOINC,2744-1,pH of Arterial blood,measurements_daily
LOINC,2823-3,Potassium [Moles/volume] in Serum or Plasma,measurements_daily|Gallstones|chf_lab_work
LOINC,28245-9,Abuse Status [OMAHA],Homelessness
LOINC,2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma,Veteran Prostate Cancer
LOINC,2885-2,Protein [Mass/volume] in Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|measurements_daily|Colorectal Cancer|Gallstones|Dialysis|Veteran Hyperlipidemia|chf_lab_work
LOINC,29463-7,Body Weight,measurements_vitals|Record Vitals Signs|Wellness Encounters|chf_lab_work
LOINC,2947-0,Sodium,Veteran Prostate Cancer|Congestive Heart Failure|Lung Cancer|Colorectal Cancer|Dialysis|Veteran Hyperlipidemia|Wellness Encounters|Metabolic Syndrome Standards of Care
LOINC,2951-2,Sodium [Moles/volume] in Serum or Plasma,measurements_daily|Gallstones|chf_lab_work
LOINC,3016-3,Thyrotropin [Units/volume] in Serum or Plasma,Hypothyroidism
