id,icd_code,icd_description,snomed,snomed_concept_name
1,T30.0,"Burn of unspecified body region, unspecified degree",48333001,Burn injury(morphologic abnormality
2,S82.891,Other fracture of right lower leg,16114001,Fracture of ankle (disorder)
3,S82.53,Displaced fracture of medial malleolus of unspecified tibia,16114001,Fracture of ankle (disorder)
4,S82.892,Other fracture of left lower leg,16114001,Fracture of ankle (disorder)
5,S82.52,Displaced fracture of medial malleolus of left tibia,16114001,Fracture of ankle (disorder)
6,S82.841,Displaced bimalleolar fracture of right lower leg,16114001,Fracture of ankle (disorder)
7,S82.899,Other fracture of unspecified lower leg,16114001,Fracture of ankle (disorder)
8,S82.843,Displaced bimalleolar fracture of unspecified lower leg,16114001,Fracture of ankle (disorder)
9,M97.9,Periprosthetic fracture around unspecified internal prosthetic joint,16114001,Fracture of ankle (disorder)
10,S82.51,Displaced fracture of medial malleolus of right tibia,16114001,Fracture of ankle (disorder)
11,S82.62,Displaced fracture of lateral malleolus of left fibula,16114001,Fracture of ankle (disorder)
12,S82.63,Displaced fracture of lateral malleolus of unspecified fibula,16114001,Fracture of ankle (disorder)
13,S82.61,Displaced fracture of lateral malleolus of right fibula,16114001,Fracture of ankle (disorder)
14,S82.842,Displaced bimalleolar fracture of left lower leg,16114001,Fracture of ankle (disorder)
15,S06.2,Diffuse traumatic brain injury,110030002,Concussion injury of brain (disorder)
16,S06.312,Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes,110030002,Concussion injury of brain (disorder)
17,S06.6,Traumatic subarachnoid hemorrhage,110030002,Concussion injury of brain (disorder)
18,S06.335,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level",110030002,Concussion injury of brain (disorder)
19,S06.4,Epidural hemorrhage,110030002,Concussion injury of brain (disorder)
20,S06.334,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours",110030002,Concussion injury of brain (disorder)
21,S06.5,Traumatic subdural hemorrhage,110030002,Concussion injury of brain (disorder)
22,S06.321,Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less,110030002,Concussion injury of brain (disorder)
23,S06.301,Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less,110030002,Concussion injury of brain (disorder)
24,S06.0,Concussion,110030002,Concussion injury of brain (disorder)
25,S06.310,Contusion and laceration of right cerebrum without loss of consciousness,110030002,Concussion injury of brain (disorder)
26,S06.330,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness",110030002,Concussion injury of brain (disorder)
27,S06.320,Contusion and laceration of left cerebrum without loss of consciousness,110030002,Concussion injury of brain (disorder)
28,S06.322,Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes,110030002,Concussion injury of brain (disorder)
29,S06.323,Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes,110030002,Concussion injury of brain (disorder)
30,S06.306,Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,110030002,Concussion injury of brain (disorder)
31,S06.308,Unspecified focal traumatic brain injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,110030002,Concussion injury of brain (disorder)
32,S06.318,Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,110030002,Concussion injury of brain (disorder)
33,S06.314,Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours,110030002,Concussion injury of brain (disorder)
34,S06.309,Unspecified focal traumatic brain injury with loss of consciousness of unspecified duration,110030002,Concussion injury of brain (disorder)
35,S06.324,Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours,110030002,Concussion injury of brain (disorder)
36,S06.332,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes",110030002,Concussion injury of brain (disorder)
37,S06.337,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness",110030002,Concussion injury of brain (disorder)
38,S06.307,Unspecified focal traumatic brain injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,110030002,Concussion injury of brain (disorder)
39,S06.316,Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,110030002,Concussion injury of brain (disorder)
40,S06.338,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness",110030002,Concussion injury of brain (disorder)
41,S06.336,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving",110030002,Concussion injury of brain (disorder)
42,S06.315,Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level,110030002,Concussion injury of brain (disorder)
43,S06.313,Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes,110030002,Concussion injury of brain (disorder)
44,S06.331,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less",110030002,Concussion injury of brain (disorder)
45,S06.302,Unspecified focal traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes,110030002,Concussion injury of brain (disorder)
46,S06.304,Unspecified focal traumatic brain injury with loss of consciousness of 6 hours to 24 hours,110030002,Concussion injury of brain (disorder)
47,S06.300,Unspecified focal traumatic brain injury without loss of consciousness,110030002,Concussion injury of brain (disorder)
48,S06.325,Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level,110030002,Concussion injury of brain (disorder)
49,S06.311,Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less,110030002,Concussion injury of brain (disorder)
50,S06.326,Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,110030002,Concussion injury of brain (disorder)
51,S06.305,Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level,110030002,Concussion injury of brain (disorder)
52,S02.91,Unspecified fracture of skull,110030002,Concussion injury of brain (disorder)
53,S06.327,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,110030002,Concussion injury of brain (disorder)
54,S06.319,Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration,110030002,Concussion injury of brain (disorder)
55,S06.317,Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,110030002,Concussion injury of brain (disorder)
56,S06.333,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes",110030002,Concussion injury of brain (disorder)
