icd10_code,description,snomed_concept_id,snomed_concept_name
J32.9,"Chronic sinusitis, unspecified",444814009,Viral sinusitis (disorder)
B97.89,Other viral agents as the cause of diseases classified elsewhere,444814009,Viral sinusitis (disorder)
J01.90,"Acute sinusitis, unspecified",444814009,Viral sinusitis (disorder)
Z20.822,Contact with and (suspected) exposure to COVID-19,840544004,Suspected disease caused by Severe acute respiratory coronavirus 2 (situation)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
A08.39,Other viral enteritis,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
J98.8,Other specified respiratory disorders,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
J96.00,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
O98.52,Other viral diseases complicating childbirth,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
O98.511,"Other viral diseases complicating pregnancy, first trimester",840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
O98.512,"Other viral diseases complicating pregnancy, second trimester",840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
O98.513,"Other viral diseases complicating pregnancy, third trimester",840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
J06.9,"Acute upper respiratory infection, unspecified",840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
O98.53,Other viral diseases complicating the puerperium,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
D84.9,"Immunodeficiency, unspecified",840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
E11.9,Type 2 diabetes mellitus without complications,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
