set_id,icd_code,icd_description,snomed,snomed_concept_name
1,T30.0,"Burn of unspecified body region, unspecified degree",48333001,Burn injury(morphologic abnormality
2,S82.89,Other fractures of lower leg,16114001,Fracture of ankle (disorder)
3,S82.53,Displaced fracture of medial malleolus of unspecified tibia,16114001,Fracture of ankle (disorder)
4,S82.52,Displaced fracture of medial malleolus of left tibia,16114001,Fracture of ankle (disorder)
5,S82.84,Bimalleolar fracture of lower leg,16114001,Fracture of ankle (disorder)
6,M97.9,Periprosthetic fracture around unspecified internal prosthetic joint,16114001,Fracture of ankle (disorder)
7,S82.51,Displaced fracture of medial malleolus of right tibia,16114001,Fracture of ankle (disorder)
8,S82.62,Displaced fracture of lateral malleolus of left fibula,16114001,Fracture of ankle (disorder)
9,S82.63,Displaced fracture of lateral malleolus of unspecified fibula,16114001,Fracture of ankle (disorder)
10,S82.61,Displaced fracture of lateral malleolus of right fibula,16114001,Fracture of ankle (disorder)
11,S06.2,Diffuse traumatic brain injury,110030002,Concussion injury of brain (disorder)
12,S06.31,Contusion and laceration of right cerebrum,110030002,Concussion injury of brain (disorder)
13,S06.6,Traumatic subarachnoid hemorrhage,110030002,Concussion injury of brain (disorder)
14,S06.33,"Contusion and laceration of cerebrum, unspecified",110030002,Concussion injury of brain (disorder)
15,S06.4,Epidural hemorrhage,110030002,Concussion injury of brain (disorder)
16,S06.5,Traumatic subdural hemorrhage,110030002,Concussion injury of brain (disorder)
17,S06.32,Contusion and laceration of left cerebrum,110030002,Concussion injury of brain (disorder)
18,S06.30,Unspecified focal traumatic brain injury,110030002,Concussion injury of brain (disorder)
19,S06.0,Concussion,110030002,Concussion injury of brain (disorder)
20,S02.91,Unspecified fracture of skull,110030002,Concussion injury of brain (disorder)
21,S06.89,Other specified intracranial injury,110030002,Concussion injury of brain (disorder)
22,S01.90,Unspecified open wound of unspecified part of head,110030002,Concussion injury of brain (disorder)
22,S06.38,"Contusion, laceration, and hemorrhage of brainstem",110030002,Concussion injury of brain (disorder)
23,S76.92,"Laceration of unspecified muscles, fascia and tendons at thigh level",283385000,Laceration of thigh (disorder)
24,S76.82,"Laceration of other specified muscles, fascia and tendons at thigh level",283385000,Laceration of thigh (disorder)
25,S71.11,Laceration without foreign body of thigh,283385000,Laceration of thigh (disorder)
26,S76.22,"Laceration of adductor muscle, fascia and tendon of thigh",283385000,Laceration of thigh (disorder)
27,S76.32,"Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level",283385000,Laceration of thigh (disorder)
28,S76.12,"Laceration of quadriceps muscle, fascia and tendon",283385000,Laceration of thigh (disorder)
29,S75.21,Minor laceration of greater saphenous vein at hip and thigh level,283385000,Laceration of thigh (disorder)
30,S75.11,Minor laceration of femoral vein at hip and thigh level,283385000,Laceration of thigh (disorder)
31,S62.10,Fracture of unspecified carpal bone,263102004,Fracture subluxation of wrist (disorder)
