CURRENT_ICD10_LIST,SNOMED_CONCEPT_NAME,SNOMED_CONCEPT_ID,CURATE_METHOD
J32.9,B97.89,Viral sinusitis (disorder),444814009,Database
J01.90,Viral sinusitis (disorder),444814009,Database
Z20.822,Suspected disease caused by Severe acute respiratory coronavirus 2 (situation),840544004,Database
U07.1,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,A08.39,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,J98.8,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,J96.00,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
O98.52,U07.1,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
O98.511,U07.1,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
O98.512,U07.1,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
O98.513,U07.1,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,J06.9,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
O98.53,U07.1,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,D84.9,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,I25.10,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,E11.9,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,J98.4,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
M35.81,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,R21,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,D68.69,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,I82.90,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,I63.9,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,I26.99,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,R23.8,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
O98.519,U07.1,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
U07.1,I51.89,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
D89.839,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),840539006,Database
R50.9,Fever (finding),386661006,Database
R50.81,Fever (finding),386661006,Database
B09,Fever (finding),386661006,Database
R50.8,Fever (finding),386661006,Database
R50.9,T81.89XS,Fever (finding),386661006,Database
T81.89XA,R50.9,Fever (finding),386661006,Database
T81.89XD,R50.9,Fever (finding),386661006,Database
R50.2,T49.0X5A,Fever (finding),386661006,Database
M04.1,Fever (finding),386661006,Database
R22.1,R50.9,Fever (finding),386661006,Database
R10.84,R50.9,Fever (finding),386661006,Database
P81.9,Fever (finding),386661006,Database
M79.629,R50.9,Fever (finding),386661006,Database
D61.818,R50.81,Fever (finding),386661006,Database
J98.9,R50.9,Fever (finding),386661006,Database
M79.609,R50.9,Fever (finding),386661006,Database
M25.539,R50.9,Fever (finding),386661006,Database
D72.829,Fever (finding),386661006,Database
M79.639,R50.9,Fever (finding),386661006,Database
R50.9,R09.89,Fever (finding),386661006,Database
M25.529,R50.9,Fever (finding),386661006,Database
R10.9,G89.18,R50.82,Fever (finding),386661006,Database
R50.9,J02.9,Fever (finding),386661006,Database
R50.9,Z20.822,Fever (finding),386661006,Database
J02.9,Acute viral pharyngitis (disorder),195662009,Database
B08.5,Acute viral pharyngitis (disorder),195662009,Database
B08.8,Acute viral pharyngitis (disorder),195662009,Database
R05,Cough (finding),49727002,Database
R05,T46.4X5A,Cough (finding),49727002,Database
R05,R09.81,Cough (finding),49727002,Database
J06.9,Cough (finding),49727002,Database
J98.01,Cough (finding),49727002,Database
R05,Z20.822,Cough (finding),49727002,Database
J20.9,J45.901,Acute bronchitis (disorder),10509002,Database
J20.9,Acute bronchitis (disorder),10509002,Database
J20.8,B97.81,Acute bronchitis (disorder),10509002,Database
J20.9,J45.31,Acute bronchitis (disorder),10509002,Database
J20.9,J45.41,Acute bronchitis (disorder),10509002,Database
J45.51,J20.9,Acute bronchitis (disorder),10509002,Database
J20.9,J45.909,Acute bronchitis (disorder),10509002,Database
J45.21,Acute bronchitis (disorder),10509002,Database
J20.9,J21.9,Acute bronchitis (disorder),10509002,Database
J45.909,Acute bronchitis (disorder),10509002,Database
J20.9,J45.21,Acute bronchitis (disorder),10509002,Database
J44.0,J20.9,Acute bronchitis (disorder),10509002,Database
J44.0,Acute bronchitis (disorder),10509002,Database
J20,Acute bronchitis (disorder),10509002,Database
Z34.90,Normal pregnancy (finding),72892002,Database
Z34.83,Normal pregnancy (finding),72892002,Database
Z34.80,Normal pregnancy (finding),72892002,Database
Z34.02,Normal pregnancy (finding),72892002,Database
Z34.01,Normal pregnancy (finding),72892002,Database
Z34.03,Normal pregnancy (finding),72892002,Database
Z34.91,Normal pregnancy (finding),72892002,Database
Z34.92,Normal pregnancy (finding),72892002,Database
Z34.00,Normal pregnancy (finding),72892002,Database
Z34.82,Normal pregnancy (finding),72892002,Database
Z34.81,Normal pregnancy (finding),72892002,Database
Z34.93,Normal pregnancy (finding),72892002,Database
O09.40,Normal pregnancy (finding),72892002,Database
Z34.9,Normal pregnancy (finding),72892002,Database
Z33.1,Normal pregnancy (finding),72892002,Database
Z03.71,Normal pregnancy (finding),72892002,Database
Z32.01,Normal pregnancy (finding),72892002,Database
Z34,Normal pregnancy (finding),72892002,Database
Z34.0,Normal pregnancy (finding),72892002,Database
Z34.8,Normal pregnancy (finding),72892002,Database
R43.2,Loss of taste (finding),36955009,Database
Z68.34,Body mass index 30+ - obesity (finding),162864005,Database
Z68.38,Body mass index 30+ - obesity (finding),162864005,Database
Z68.36,Body mass index 30+ - obesity (finding),162864005,Database
Z68.39,Body mass index 30+ - obesity (finding),162864005,Database
Z68.30,Body mass index 30+ - obesity (finding),162864005,Database
Z68.31,Body mass index 30+ - obesity (finding),162864005,Database
Z68.32,Body mass index 30+ - obesity (finding),162864005,Database
Z68.33,Body mass index 30+ - obesity (finding),162864005,Database
Z68.35,Body mass index 30+ - obesity (finding),162864005,Database
Z68.37,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.35,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.36,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.37,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.38,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.39,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.35,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.36,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.37,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.38,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.39,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.35,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.36,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.37,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.38,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.39,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Body mass index 30+ - obesity (finding),162864005,Database
E66.01,Z68.36,Body mass index 30+ - obesity (finding),162864005,Database
E66.01,Z68.35,Body mass index 30+ - obesity (finding),162864005,Database
E66.01,Z68.37,Body mass index 30+ - obesity (finding),162864005,Database
E66.01,Z68.38,Body mass index 30+ - obesity (finding),162864005,Database
E66.01,Z68.39,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.30,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.31,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.32,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.33,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.34,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.30,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.31,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.32,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.33,Body mass index 30+ - obesity (finding),162864005,Database
E66.09,Z68.34,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.30,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.31,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.32,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.33,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Z68.34,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.30,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.31,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.32,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.33,Body mass index 30+ - obesity (finding),162864005,Database
E66.9,Z68.34,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.35,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.36,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.37,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.38,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Z68.39,Body mass index 30+ - obesity (finding),162864005,Database
E66.01,Body mass index 30+ - obesity (finding),162864005,Database
E66.2,Body mass index 30+ - obesity (finding),162864005,Database
E66.1,Body mass index 30+ - obesity (finding),162864005,Database
R53.83,Fatigue (finding),84229001,Database
R53.82,Fatigue (finding),84229001,Database
T73.2XXA,Fatigue (finding),84229001,Database
T73.3XXA,Fatigue (finding),84229001,Database
R29.898,Fatigue (finding),84229001,Database
R53.83,S09.90XS,Fatigue (finding),84229001,Database
T73.2XXD,Fatigue (finding),84229001,Database
T73.2XXS,Fatigue (finding),84229001,Database
T73.3XXD,Fatigue (finding),84229001,Database
D64.9,Fatigue (finding),84229001,Database
T73.3XXS,Fatigue (finding),84229001,Database
F32.9,R53.83,Fatigue (finding),84229001,Database
R68.89,R53.83,Fatigue (finding),84229001,Database
R53.83,G47.9,Fatigue (finding),84229001,Database
R53.83,T46.5X5A,Fatigue (finding),84229001,Database
R53.83,T42.75XA,Fatigue (finding),84229001,Database
R53.83,T50.B95A,Fatigue (finding),84229001,Database
R53.83,T50.Z95A,Fatigue (finding),84229001,Database
D64.9,Anemia (disorder),271737000,Database
D64.89,Anemia (disorder),271737000,Database
D46.4,Anemia (disorder),271737000,Database
H35.00,D64.9,Q07.9,Anemia (disorder),271737000,Database
D55.9,Anemia (disorder),271737000,Database
D69.6,Anemia (disorder),271737000,Database
D63.1,Anemia (disorder),271737000,Database
D75.81,Anemia (disorder),271737000,Database
D56.1,Anemia (disorder),271737000,Database
D64.8,Anemia (disorder),271737000,Database
O99.019,Anemia (disorder),271737000,Database
D55,Anemia (disorder),271737000,Database
R73.03,Prediabetes (finding),714628002,Database
I10,Essential hypertension (disorder),59621000,Database
O99.280,O16.9,E27.40,Essential hypertension (disorder),59621000,Database
J32.9,Chronic sinusitis (disorder),40055000,Database
J32.8,Chronic sinusitis (disorder),40055000,Database
J32.9,J40,Chronic sinusitis (disorder),40055000,Database
J32,Chronic sinusitis (disorder),40055000,Database
H66.90,Otitis media (disorder),65363002,Database
H67.9,Otitis media (disorder),65363002,Database
H66.92,Otitis media (disorder),65363002,Database
H66.91,Otitis media (disorder),65363002,Database
H66.93,Otitis media (disorder),65363002,Database
H65.90,Otitis media (disorder),65363002,Database
H66.91,H72.91,Otitis media (disorder),65363002,Database
H66.92,H72.92,Otitis media (disorder),65363002,Database
H65.92,Otitis media (disorder),65363002,Database
H65.91,Otitis media (disorder),65363002,Database
H66.90,H72.90,Otitis media (disorder),65363002,Database
H67.2,Otitis media (disorder),65363002,Database
H67.1,Otitis media (disorder),65363002,Database
H67.3,Otitis media (disorder),65363002,Database
A38.0,Otitis media (disorder),65363002,Database
H65.93,Otitis media (disorder),65363002,Database
H65.195,Otitis media (disorder),65363002,Database
H65.196,Otitis media (disorder),65363002,Database
H65.194,Otitis media (disorder),65363002,Database
H65.197,Otitis media (disorder),65363002,Database
H66.93,H72.93,Otitis media (disorder),65363002,Database
Z09,Z86.69,Otitis media (disorder),65363002,Database
H66.9,Otitis media (disorder),65363002,Database
H67,Otitis media (disorder),65363002,Database
M54.5,G89.29,Chronic low back pain (finding),278860009,Database
M54.40,G89.29,Chronic low back pain (finding),278860009,Database
M54.41,G89.29,Chronic low back pain (finding),278860009,Database
M54.42,G89.29,Chronic low back pain (finding),278860009,Database
M54.5,Chronic low back pain (finding),278860009,Database
M54.41,M54.42,G89.29,Chronic low back pain (finding),278860009,Database
M54.42,M54.41,G89.29,Chronic low back pain (finding),278860009,Database
