code	descriiption
A04	Other bacterial intestinal infections
A08.4	Viral gastroenteritis
A41	Other sepsis
B02	Zoster [herpes zoster]
B35	Dermatophytosis
B37	Candidiasis
C34	Malignant neoplasm of bronchus and lung
D12.6	Benign neoplasm of colon
D50	Iron deficiency anemia
D62	Acute posthemorrhagic anemia
D63	Anemia in chronic diseases classified elsewhere
D64	Other anemias
D69	Purpura and other hemorrhagic conditions
D72.829	Elevated white blood cell count, unspecified
E03	Other hypothyroidism
E04.1	Thyroid nodule
E10	Type 1 diabetes mellitus
E11	Type 2 diabetes mellitus
E16.2	Hypoglycemia, unspecified
E43	Unspecified severe protein-calorie malnutrition
E44	Protein-calorie malnutrition of moderate and mild degree
E46	Unspecified protein-calorie malnutrition
E53.8	Vitamin B12 deficiency (non anemic)
E55	Vitamin D deficiency
E66	Overweight and obesity
E78.00	Pure hypercholesterolemia
E78.1	Hypertriglyceridemia
E78.2	Mixed hyperlipidemia
E78.5	Hyperlipidemia, unspecified
E83.42	Hypomagnesemia
E83.51	Hypocalcemia
E83.52	Hypercalcemia
E86	Volume depletion
E87.0	Hyperosmolality and hypernatremia
E87.1	Hypo-osmolality and hyponatremia
E87.2	Acidosis
E87.5	Hyperkalemia
E87.6	Hypokalemia
F02	Dementia in other diseases classified elsewhere
F03	Unspecified dementia
F10	Alcohol related disorders
F17	Nicotine dependence
F31	Bipolar disorder
F32	Major depressive disorder, single episod
F33	Major depressive disorder, recurrent
F41	Other anxiety disorders
F41.1	Generalized anxiety disorder
F43.10	PTSD (post-traumatic stress disorder)
F43.21	Situational depression
F43.23	Situational mixed anxiety and depressive disorder
F51.01	Primary insomnia
F90	Attention-deficit hyperactivity disorders
F98.8	Attention deficit disorder, unspecified hyperactivity presence
G25.81	Restless legs syndrome
G40	Epilepsy and recurrent seizures
G43	Migraine
G47.00	Insomnia, unspecified type
G47.30	Sleep apnea, unspecified
G47.33	Obstructive sleep apnea (adult) (pediatric)
G47.9	Sleep disturbance
G62.9	Neuropathy
G89.29	Other chronic pain
G89.4	Chronic pain syndrome
G93.40	Encephalopathy, unspecified
G93.41	Metabolic encephalopathy
H10	Conjunctivitis
H61.23	Bilateral impacted cerume
H66	Suppurative and unspecified otitis media
H69	Other and unspecified disorders of Eustachian tube
H90	Conductive and sensorineural hearing loss
H91	Other and unspecified hearing loss
H92	Otalgia and effusion of ea
I05	Rheumatic mitral valve diseases
I10	Essential (primary) hypertension
I11	Hypertensive heart disease
I12	Hypertensive chronic kidney disease
I13	Hypertensive heart and chronic kidney disease
I21	Acute myocardial infarction
I25	Chronic ischemic heart disease
I26	Pulmonary embolism
I27.20	Pulmonary hypertension
I34	Nonrheumatic mitral valve disorders
I35	Nonrheumatic aortic valve disorders
I42	Cardiomyopathy
I47	Paroxysmal tachycardia
I48	Atrial fibrillation and flutter
I49	Other cardiac arrhythmias
I49.3	Ventricular premature depolarization
I49.5	SSS (sick sinus syndrome)
I50	Heart failure
I51.7	Cardiomegaly
I63	Cerebral infarction
I65	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction
I67	Other cerebrovascular diseases
I70	Atherosclerosis
I73	Other peripheral vascular diseases
I95	Hypotension
I95.1	Orthostatic hypotension
J00	Acute nasopharyngitis [common cold]
J01	Acute sinusitis
J02	Acute pharyngitis
J03	Acute tonsillitis
J05	Acute obstructive laryngitis [croup] and epiglottitis
J06	Acute upper respiratory infections of multiple and unspecified sites
J10	Influenza due to other identified influenza virus
J11	Influenza due to unidentified influenza virus
J12	Viral pneumonia, not elsewhere classified
J13	Pneumonia due to Streptococcus pneumoniae
J15	Bacterial pneumonia, not elsewhere classified
J18	Pneumonia, unspecified organism
J20	Acute bronchitis
J21	Acute bronchiolitis
J30.1	Seasonal allergic rhinitis due to pollen
J30.2	Seasonal allergic rhinitis, unspecified trigger
J30.89	Environmental and seasonal allergies
J30.9	Allergic rhinitis
